,EDA,time
0,7.623893,2022-08-17 14:11:03.250
1,7.927568,2022-08-17 14:11:03.500
2,7.67757,2022-08-17 14:11:03.750
3,7.559688,2022-08-17 14:11:04.000
4,7.508434,2022-08-17 14:11:04.250
5,7.480245,2022-08-17 14:11:04.500
6,7.421304,2022-08-17 14:11:04.750
7,7.375315,2022-08-17 14:11:05.000
8,7.420161,2022-08-17 14:11:05.250
9,7.374033,2022-08-17 14:11:05.500
10,7.343281,2022-08-17 14:11:05.750
11,7.356095,2022-08-17 14:11:06.000
12,7.506011,2022-08-17 14:11:06.250
13,7.566233,2022-08-17 14:11:06.500
14,7.554701,2022-08-17 14:11:06.750
15,7.566233,2022-08-17 14:11:07.000
16,7.604673,2022-08-17 14:11:07.250
17,7.677709,2022-08-17 14:11:07.500
18,7.68796,2022-08-17 14:11:07.750
19,7.554701,2022-08-17 14:11:08.000
20,7.522668,2022-08-17 14:11:08.250
21,7.520105,2022-08-17 14:11:08.500
22,7.526512,2022-08-17 14:11:08.750
23,7.529075,2022-08-17 14:11:09.000
24,7.56367,2022-08-17 14:11:09.250
25,7.561108,2022-08-17 14:11:09.500
26,7.557264,2022-08-17 14:11:09.750
27,7.554701,2022-08-17 14:11:10.000
28,7.566233,2022-08-17 14:11:10.250
29,7.584172,2022-08-17 14:11:10.500
30,7.59186,2022-08-17 14:11:10.750
31,7.652082,2022-08-17 14:11:11.000
32,7.695648,2022-08-17 14:11:11.250
33,7.743057,2022-08-17 14:11:11.500
34,7.780215,2022-08-17 14:11:11.750
35,7.793029,2022-08-17 14:11:12.000
36,7.78406,2022-08-17 14:11:12.250
37,7.772527,2022-08-17 14:11:12.500
38,7.745619,2022-08-17 14:11:12.750
39,7.721274,2022-08-17 14:11:13.000
40,7.702054,2022-08-17 14:11:13.250
41,7.684115,2022-08-17 14:11:13.500
42,7.668739,2022-08-17 14:11:13.750
43,7.653364,2022-08-17 14:11:14.000
44,7.64055,2022-08-17 14:11:14.250
45,7.618768,2022-08-17 14:11:14.500
46,7.616205,2022-08-17 14:11:14.750
47,7.599548,2022-08-17 14:11:15.000
48,7.59186,2022-08-17 14:11:15.250
49,7.598266,2022-08-17 14:11:15.500
50,7.607235,2022-08-17 14:11:15.750
51,7.607235,2022-08-17 14:11:16.000
52,7.609798,2022-08-17 14:11:16.250
53,7.613642,2022-08-17 14:11:16.500
54,7.613642,2022-08-17 14:11:16.750
55,7.607235,2022-08-17 14:11:17.000
56,7.616205,2022-08-17 14:11:17.250
57,7.614923,2022-08-17 14:11:17.500
58,7.607235,2022-08-17 14:11:17.750
59,7.608517,2022-08-17 14:11:18.000
60,7.598266,2022-08-17 14:11:18.250
61,7.614923,2022-08-17 14:11:18.500
62,7.607235,2022-08-17 14:11:18.750
63,7.603392,2022-08-17 14:11:19.000
64,7.604673,2022-08-17 14:11:19.250
65,7.595704,2022-08-17 14:11:19.500
66,7.590579,2022-08-17 14:11:19.750
67,7.59186,2022-08-17 14:11:20.000
68,7.584172,2022-08-17 14:11:20.250
69,7.580328,2022-08-17 14:11:20.500
70,7.581609,2022-08-17 14:11:20.750
71,7.584172,2022-08-17 14:11:21.000
72,7.577765,2022-08-17 14:11:21.250
73,7.576484,2022-08-17 14:11:21.500
74,7.576484,2022-08-17 14:11:21.750
75,7.579046,2022-08-17 14:11:22.000
76,7.575202,2022-08-17 14:11:22.250
77,7.575202,2022-08-17 14:11:22.500
78,7.570077,2022-08-17 14:11:22.750
79,7.570077,2022-08-17 14:11:23.000
80,7.567514,2022-08-17 14:11:23.250
81,7.570077,2022-08-17 14:11:23.500
82,7.568796,2022-08-17 14:11:23.750
83,7.566233,2022-08-17 14:11:24.000
84,7.564952,2022-08-17 14:11:24.250
85,7.564952,2022-08-17 14:11:24.500
86,7.564952,2022-08-17 14:11:24.750
87,7.557264,2022-08-17 14:11:25.000
88,7.557264,2022-08-17 14:11:25.250
89,7.555983,2022-08-17 14:11:25.500
90,7.557264,2022-08-17 14:11:25.750
91,7.561108,2022-08-17 14:11:26.000
92,7.558545,2022-08-17 14:11:26.250
93,7.555983,2022-08-17 14:11:26.500
94,7.549576,2022-08-17 14:11:26.750
95,7.547013,2022-08-17 14:11:27.000
96,7.539325,2022-08-17 14:11:27.250
97,7.538044,2022-08-17 14:11:27.500
98,7.536762,2022-08-17 14:11:27.750
99,7.540606,2022-08-17 14:11:28.000
100,7.5342,2022-08-17 14:11:28.250
101,7.530356,2022-08-17 14:11:28.500
102,7.5342,2022-08-17 14:11:28.750
103,7.529075,2022-08-17 14:11:29.000
104,7.526512,2022-08-17 14:11:29.250
105,7.529075,2022-08-17 14:11:29.500
106,7.517542,2022-08-17 14:11:29.750
107,7.51498,2022-08-17 14:11:30.000
108,7.504729,2022-08-17 14:11:30.250
109,7.512417,2022-08-17 14:11:30.500
110,7.511136,2022-08-17 14:11:30.750
111,7.509854,2022-08-17 14:11:31.000
112,7.513699,2022-08-17 14:11:31.250
113,7.508573,2022-08-17 14:11:31.500
114,7.506011,2022-08-17 14:11:31.750
115,7.506011,2022-08-17 14:11:32.000
116,7.506011,2022-08-17 14:11:32.250
117,7.506011,2022-08-17 14:11:32.500
118,7.503448,2022-08-17 14:11:32.750
119,7.51498,2022-08-17 14:11:33.000
120,7.518824,2022-08-17 14:11:33.250
121,7.536762,2022-08-17 14:11:33.500
122,7.607235,2022-08-17 14:11:33.750
123,7.584172,2022-08-17 14:11:34.000
124,7.554701,2022-08-17 14:11:34.250
125,7.541888,2022-08-17 14:11:34.500
126,7.538044,2022-08-17 14:11:34.750
127,7.584172,2022-08-17 14:11:35.000
128,7.721274,2022-08-17 14:11:35.250
129,7.942945,2022-08-17 14:11:35.500
130,8.258013,2022-08-17 14:11:35.750
131,8.489934,2022-08-17 14:11:36.000
132,8.699583,2022-08-17 14:11:36.250
133,8.790558,2022-08-17 14:11:36.500
134,8.780307,2022-08-17 14:11:36.750
135,8.713677,2022-08-17 14:11:37.000
136,8.588107,2022-08-17 14:11:37.250
137,8.463819,2022-08-17 14:11:37.500
138,8.344654,2022-08-17 14:11:37.750
139,8.233178,2022-08-17 14:11:38.000
140,8.151174,2022-08-17 14:11:38.250
141,8.09992,2022-08-17 14:11:38.500
142,8.043542,2022-08-17 14:11:38.750
143,7.999976,2022-08-17 14:11:39.000
144,7.973068,2022-08-17 14:11:39.250
145,7.951286,2022-08-17 14:11:39.500
146,7.928222,2022-08-17 14:11:39.750
147,7.900522,2022-08-17 14:11:40.000
148,7.881302,2022-08-17 14:11:40.250
149,7.871051,2022-08-17 14:11:40.500
150,7.849268,2022-08-17 14:11:40.750
151,7.846706,2022-08-17 14:11:41.000
152,7.854394,2022-08-17 14:11:41.250
153,7.8608,2022-08-17 14:11:41.500
154,7.859519,2022-08-17 14:11:41.750
155,7.859519,2022-08-17 14:11:42.000
156,7.853113,2022-08-17 14:11:42.250
157,7.836455,2022-08-17 14:11:42.500
158,7.824923,2022-08-17 14:11:42.750
159,7.810829,2022-08-17 14:11:43.000
160,7.796734,2022-08-17 14:11:43.250
161,7.790327,2022-08-17 14:11:43.500
162,7.771107,2022-08-17 14:11:43.750
163,7.772388,2022-08-17 14:11:44.000
164,7.757013,2022-08-17 14:11:44.250
165,7.748044,2022-08-17 14:11:44.500
166,7.739074,2022-08-17 14:11:44.750
167,7.732667,2022-08-17 14:11:45.000
168,7.724979,2022-08-17 14:11:45.250
169,7.721135,2022-08-17 14:11:45.500
170,7.722417,2022-08-17 14:11:45.750
171,7.714729,2022-08-17 14:11:46.000
172,7.708322,2022-08-17 14:11:46.250
173,7.708322,2022-08-17 14:11:46.500
174,7.710885,2022-08-17 14:11:46.750
175,7.701915,2022-08-17 14:11:47.000
176,7.699353,2022-08-17 14:11:47.250
177,7.700634,2022-08-17 14:11:47.500
178,7.731386,2022-08-17 14:11:47.750
179,7.795453,2022-08-17 14:11:48.000
180,7.896677,2022-08-17 14:11:48.250
181,7.973557,2022-08-17 14:11:48.500
182,8.029936,2022-08-17 14:11:48.750
183,8.053,2022-08-17 14:11:49.000
184,8.042749,2022-08-17 14:11:49.250
185,8.019686,2022-08-17 14:11:49.500
186,7.974839,2022-08-17 14:11:49.750
187,7.929992,2022-08-17 14:11:50.000
188,7.896677,2022-08-17 14:11:50.250
189,7.864645,2022-08-17 14:11:50.500
190,7.845425,2022-08-17 14:11:50.750
191,7.826204,2022-08-17 14:11:51.000
192,7.809547,2022-08-17 14:11:51.250
193,7.810829,2022-08-17 14:11:51.500
194,7.814672,2022-08-17 14:11:51.750
195,7.806984,2022-08-17 14:11:52.000
196,7.804422,2022-08-17 14:11:52.250
197,7.796734,2022-08-17 14:11:52.500
198,7.789046,2022-08-17 14:11:52.750
199,7.778795,2022-08-17 14:11:53.000
200,7.774951,2022-08-17 14:11:53.250
201,7.760857,2022-08-17 14:11:53.500
202,7.749325,2022-08-17 14:11:53.750
203,7.740355,2022-08-17 14:11:54.000
204,7.733949,2022-08-17 14:11:54.250
205,7.724979,2022-08-17 14:11:54.500
206,7.719854,2022-08-17 14:11:54.750
