,EDA,time
0,2.028981,2022-10-28 10:40:20.250
1,2.059733,2022-10-28 10:40:20.500
2,2.053327,2022-10-28 10:40:20.750
3,2.050764,2022-10-28 10:40:21.000
4,2.052045,2022-10-28 10:40:21.250
5,2.052045,2022-10-28 10:40:21.500
6,2.050764,2022-10-28 10:40:21.750
7,2.04692,2022-10-28 10:40:22.000
8,2.044357,2022-10-28 10:40:22.250
9,2.039232,2022-10-28 10:40:22.500
10,2.034107,2022-10-28 10:40:22.750
11,2.026419,2022-10-28 10:40:23.000
12,2.025137,2022-10-28 10:40:23.250
13,2.022575,2022-10-28 10:40:23.500
14,2.012324,2022-10-28 10:40:23.750
15,2.004636,2022-10-28 10:40:24.000
16,2.004636,2022-10-28 10:40:24.250
17,2.003355,2022-10-28 10:40:24.500
18,1.996948,2022-10-28 10:40:24.750
19,1.995667,2022-10-28 10:40:25.000
20,1.990541,2022-10-28 10:40:25.250
21,1.986698,2022-10-28 10:40:25.500
22,1.990541,2022-10-28 10:40:25.750
23,1.991823,2022-10-28 10:40:26.000
24,1.993104,2022-10-28 10:40:26.250
25,1.994385,2022-10-28 10:40:26.500
26,1.993104,2022-10-28 10:40:26.750
27,1.994385,2022-10-28 10:40:27.000
28,1.987979,2022-10-28 10:40:27.250
29,1.98926,2022-10-28 10:40:27.500
30,1.98926,2022-10-28 10:40:27.750
31,1.98926,2022-10-28 10:40:28.000
32,1.987979,2022-10-28 10:40:28.250
33,1.986698,2022-10-28 10:40:28.500
34,1.985416,2022-10-28 10:40:28.750
35,1.984135,2022-10-28 10:40:29.000
36,1.980291,2022-10-28 10:40:29.250
37,1.976447,2022-10-28 10:40:29.500
38,1.975165,2022-10-28 10:40:29.750
39,1.967478,2022-10-28 10:40:30.000
40,1.966196,2022-10-28 10:40:30.250
41,1.961071,2022-10-28 10:40:30.500
42,1.958508,2022-10-28 10:40:30.750
43,1.953383,2022-10-28 10:40:31.000
44,1.949539,2022-10-28 10:40:31.250
45,1.946976,2022-10-28 10:40:31.500
46,1.938007,2022-10-28 10:40:31.750
47,1.9316,2022-10-28 10:40:32.000
48,1.92135,2022-10-28 10:40:32.250
49,1.914943,2022-10-28 10:40:32.500
50,1.916224,2022-10-28 10:40:32.750
51,1.91238,2022-10-28 10:40:33.000
52,1.908536,2022-10-28 10:40:33.250
53,1.905974,2022-10-28 10:40:33.500
54,1.913662,2022-10-28 10:40:33.750
55,1.923912,2022-10-28 10:40:34.000
56,1.923912,2022-10-28 10:40:34.250
57,1.918787,2022-10-28 10:40:34.500
58,1.909818,2022-10-28 10:40:34.750
59,1.897004,2022-10-28 10:40:35.000
60,1.897004,2022-10-28 10:40:35.250
61,1.899567,2022-10-28 10:40:35.500
62,1.898286,2022-10-28 10:40:35.750
63,1.895723,2022-10-28 10:40:36.000
64,1.889316,2022-10-28 10:40:36.250
65,1.890598,2022-10-28 10:40:36.500
66,1.886754,2022-10-28 10:40:36.750
67,1.891879,2022-10-28 10:40:37.000
68,1.891879,2022-10-28 10:40:37.250
69,1.891879,2022-10-28 10:40:37.500
70,1.885472,2022-10-28 10:40:37.750
71,1.876503,2022-10-28 10:40:38.000
72,1.867534,2022-10-28 10:40:38.250
73,1.845751,2022-10-28 10:40:38.500
74,1.864971,2022-10-28 10:40:38.750
75,1.868815,2022-10-28 10:40:39.000
76,1.868815,2022-10-28 10:40:39.250
77,1.867534,2022-10-28 10:40:39.500
78,1.875222,2022-10-28 10:40:39.750
79,1.877784,2022-10-28 10:40:40.000
80,1.871378,2022-10-28 10:40:40.250
81,1.866252,2022-10-28 10:40:40.500
82,1.857283,2022-10-28 10:40:40.750
83,1.850876,2022-10-28 10:40:41.000
84,1.850876,2022-10-28 10:40:41.250
85,1.845751,2022-10-28 10:40:41.500
86,1.840626,2022-10-28 10:40:41.750
87,1.830375,2022-10-28 10:40:42.000
88,1.818843,2022-10-28 10:40:42.250
89,1.817562,2022-10-28 10:40:42.500
90,1.821406,2022-10-28 10:40:42.750
91,1.826531,2022-10-28 10:40:43.000
92,1.82525,2022-10-28 10:40:43.250
93,1.82525,2022-10-28 10:40:43.500
94,1.818843,2022-10-28 10:40:43.750
95,1.822687,2022-10-28 10:40:44.000
96,1.826531,2022-10-28 10:40:44.250
97,1.832938,2022-10-28 10:40:44.500
98,1.836782,2022-10-28 10:40:44.750
99,1.836782,2022-10-28 10:40:45.000
100,1.831656,2022-10-28 10:40:45.250
101,1.84447,2022-10-28 10:40:45.500
102,1.831656,2022-10-28 10:40:45.750
103,1.81628,2022-10-28 10:40:46.000
104,1.808593,2022-10-28 10:40:46.250
105,1.795779,2022-10-28 10:40:46.500
106,1.79706,2022-10-28 10:40:46.750
107,1.789373,2022-10-28 10:40:47.000
108,1.777841,2022-10-28 10:40:47.250
109,1.779122,2022-10-28 10:40:47.500
110,1.779122,2022-10-28 10:40:47.750
111,1.78681,2022-10-28 10:40:48.000
112,1.782966,2022-10-28 10:40:48.250
113,1.780403,2022-10-28 10:40:48.500
114,1.781685,2022-10-28 10:40:48.750
115,1.781685,2022-10-28 10:40:49.000
116,1.776559,2022-10-28 10:40:49.250
117,1.776559,2022-10-28 10:40:49.500
118,1.771434,2022-10-28 10:40:49.750
119,1.768871,2022-10-28 10:40:50.000
120,1.763746,2022-10-28 10:40:50.250
121,1.758621,2022-10-28 10:40:50.500
122,1.758621,2022-10-28 10:40:50.750
123,1.756058,2022-10-28 10:40:51.000
124,1.752214,2022-10-28 10:40:51.250
125,1.752214,2022-10-28 10:40:51.500
126,1.74837,2022-10-28 10:40:51.750
127,1.745807,2022-10-28 10:40:52.000
128,1.744526,2022-10-28 10:40:52.250
129,1.747089,2022-10-28 10:40:52.500
130,1.744526,2022-10-28 10:40:52.750
131,1.736838,2022-10-28 10:40:53.000
132,1.735557,2022-10-28 10:40:53.250
133,1.734275,2022-10-28 10:40:53.500
134,1.726587,2022-10-28 10:40:53.750
135,1.725306,2022-10-28 10:40:54.000
136,1.736838,2022-10-28 10:40:54.250
137,1.759902,2022-10-28 10:40:54.500
138,1.784247,2022-10-28 10:40:54.750
139,1.823969,2022-10-28 10:40:55.000
140,1.845751,2022-10-28 10:40:55.250
141,1.866252,2022-10-28 10:40:55.500
142,1.87394,2022-10-28 10:40:55.750
143,1.875222,2022-10-28 10:40:56.000
144,1.876503,2022-10-28 10:40:56.250
145,1.871378,2022-10-28 10:40:56.500
146,1.859846,2022-10-28 10:40:56.750
147,1.847032,2022-10-28 10:40:57.000
148,1.8355,2022-10-28 10:40:57.250
149,1.822687,2022-10-28 10:40:57.500
150,1.811155,2022-10-28 10:40:57.750
151,1.804749,2022-10-28 10:40:58.000
152,1.794498,2022-10-28 10:40:58.250
153,1.789373,2022-10-28 10:40:58.500
154,1.779122,2022-10-28 10:40:58.750
155,1.777841,2022-10-28 10:40:59.000
156,1.770153,2022-10-28 10:40:59.250
157,1.768871,2022-10-28 10:40:59.500
158,1.759902,2022-10-28 10:40:59.750
159,1.758621,2022-10-28 10:41:00.000
160,1.756058,2022-10-28 10:41:00.250
161,1.752214,2022-10-28 10:41:00.500
162,1.745807,2022-10-28 10:41:00.750
163,1.747089,2022-10-28 10:41:01.000
164,1.745807,2022-10-28 10:41:01.250
165,1.750933,2022-10-28 10:41:01.500
166,1.763746,2022-10-28 10:41:01.750
167,1.773997,2022-10-28 10:41:02.000
168,1.78681,2022-10-28 10:41:02.250
169,1.790654,2022-10-28 10:41:02.500
170,1.790654,2022-10-28 10:41:02.750
171,1.789373,2022-10-28 10:41:03.000
172,1.780403,2022-10-28 10:41:03.250
173,1.772715,2022-10-28 10:41:03.500
174,1.762465,2022-10-28 10:41:03.750
175,1.757339,2022-10-28 10:41:04.000
176,1.747089,2022-10-28 10:41:04.250
177,1.745807,2022-10-28 10:41:04.500
178,1.740682,2022-10-28 10:41:04.750
179,1.738119,2022-10-28 10:41:05.000
180,1.732994,2022-10-28 10:41:05.250
181,1.727869,2022-10-28 10:41:05.500
182,1.722743,2022-10-28 10:41:05.750
183,1.718899,2022-10-28 10:41:06.000
184,1.715055,2022-10-28 10:41:06.250
185,1.715055,2022-10-28 10:41:06.500
186,1.708649,2022-10-28 10:41:06.750
187,1.702242,2022-10-28 10:41:07.000
188,1.702242,2022-10-28 10:41:07.250
189,1.702242,2022-10-28 10:41:07.500
190,1.698398,2022-10-28 10:41:07.750
191,1.691991,2022-10-28 10:41:08.000
192,1.695835,2022-10-28 10:41:08.250
193,1.689429,2022-10-28 10:41:08.500
194,1.688147,2022-10-28 10:41:08.750
195,1.683022,2022-10-28 10:41:09.000
196,1.679178,2022-10-28 10:41:09.250
197,1.676615,2022-10-28 10:41:09.500
198,1.675334,2022-10-28 10:41:09.750
199,1.675334,2022-10-28 10:41:10.000
200,1.672771,2022-10-28 10:41:10.250
201,1.672771,2022-10-28 10:41:10.500
202,1.667646,2022-10-28 10:41:10.750
203,1.667646,2022-10-28 10:41:11.000
204,1.666365,2022-10-28 10:41:11.250
205,1.662521,2022-10-28 10:41:11.500
206,1.659958,2022-10-28 10:41:11.750
207,1.654833,2022-10-28 10:41:12.000
208,1.65227,2022-10-28 10:41:12.250
209,1.648426,2022-10-28 10:41:12.500
210,1.647145,2022-10-28 10:41:12.750
211,1.640738,2022-10-28 10:41:13.000
212,1.64202,2022-10-28 10:41:13.250
213,1.63305,2022-10-28 10:41:13.500
214,1.635613,2022-10-28 10:41:13.750
215,1.631769,2022-10-28 10:41:14.000
216,1.63305,2022-10-28 10:41:14.250
217,1.627925,2022-10-28 10:41:14.500
218,1.626644,2022-10-28 10:41:14.750
219,1.627925,2022-10-28 10:41:15.000
220,1.624081,2022-10-28 10:41:15.250
221,1.6228,2022-10-28 10:41:15.500
222,1.61383,2022-10-28 10:41:15.750
223,1.615111,2022-10-28 10:41:16.000
224,1.612549,2022-10-28 10:41:16.250
225,1.608705,2022-10-28 10:41:16.500
226,1.606142,2022-10-28 10:41:16.750
227,1.60358,2022-10-28 10:41:17.000
228,1.601017,2022-10-28 10:41:17.250
229,1.595892,2022-10-28 10:41:17.500
230,1.59461,2022-10-28 10:41:17.750
231,1.59461,2022-10-28 10:41:18.000
232,1.604861,2022-10-28 10:41:18.250
233,1.611268,2022-10-28 10:41:18.500
234,1.618955,2022-10-28 10:41:18.750
235,1.618955,2022-10-28 10:41:19.000
236,1.618955,2022-10-28 10:41:19.250
237,1.616393,2022-10-28 10:41:19.500
238,1.616393,2022-10-28 10:41:19.750
239,1.609986,2022-10-28 10:41:20.000
240,1.609986,2022-10-28 10:41:20.250
241,1.604861,2022-10-28 10:41:20.500
242,1.60358,2022-10-28 10:41:20.750
243,1.588204,2022-10-28 10:41:21.000
244,1.58436,2022-10-28 10:41:21.250
245,1.579234,2022-10-28 10:41:21.500
246,1.581797,2022-10-28 10:41:21.750
247,1.570265,2022-10-28 10:41:22.000
248,1.566421,2022-10-28 10:41:22.250
249,1.566421,2022-10-28 10:41:22.500
250,1.566421,2022-10-28 10:41:22.750
251,1.563858,2022-10-28 10:41:23.000
252,1.562577,2022-10-28 10:41:23.250
